County,Net Individual Income Tax,% of Total Income Tax,State Sales Tax Collections,% of Total Sales Tax,County Government Shared Revenue,Municipal Governments Shared Revenue,Total Shared Revenue,Percent of Total Shared Revenue
Adams,15.1,0.2,19.2,0.3,8232100,5325500,13557600,0.5
Ashland,11.9,0.1,16.2,0.3,7248300,10459700,17708000,0.6
Barron,43.3,0.5,52.6,0.9,14654000,12944500,27598400,0.9
Bayfield,15.2,0.2,14.4,0.2,7352200,8662200,16014400,0.5
Brown,407.7,5.1,312.1,5.3,69572000,50033900,119605900,4
Buffalo,10,0.1,8.9,0.1,7502100,4147100,11649200,0.4
Burnett,11.3,0.1,13.7,0.2,6048100,5059400,11107500,0.4
Calumet,71.8,0.9,46.4,0.8,14550500,7492200,22042700,0.7
Chippewa,70.2,0.9,66.9,1.1,31640300,16376800,48017100,1.6
Clark,28.4,0.4,24.7,0.4,11537900,12925100,24463100,0.8
Columbia,75.4,0.9,57.1,1,18666600,15461700,34128300,1.2
Crawford,14.1,0.2,17,0.3,7718700,6989800,14708600,0.5
Dane,1099.2,13.7,636.8,10.8,164001200,86127500,250128600,8.5
Dodge,99.3,1.2,77.6,1.3,15847800,18861400,34709200,1.2
Door,41.4,0.5,51.4,0.9,10525800,5321900,15847700,0.5
Douglas,29.7,0.4,46.2,0.8,14798600,25710500,40509100,1.4
Dunn,43.9,0.5,36.3,0.6,12979100,11096900,24076000,0.8
Eau Claire ,136.3,1.7,118,2,30449200,19791900,50241000,1.7
Florence,4.1,0.1,3,0.1,3313400,1588100,4901600,0.2
Fond du Lac,129.7,1.6,97.1,1.6,35635300,21639300,57274500,1.9
Forest,7.1,0.1,6.7,0.1,3685500,4004400,7689900,0.3
Grant,38.8,0.5,38.7,0.7,11982700,20054400,32037100,1.1
Green,48.8,0.6,32.1,0.5,10630100,8293500,18923600,0.6
Green Lake,19.3,0.2,18,0.3,7504400,5146200,12650600,0.4
Iowa,29.7,0.4,23.1,0.4,4031800,6938000,10969800,0.4
Iron,5.2,0.1,5.7,0.1,2837700,3177600,6015300,0.2
Jackson,16.4,0.2,16,0.3,8810700,6087500,14898200,0.5
Jefferson,100.9,1.3,73.1,1.2,18479400,16791700,35271100,1.2
Juneau,22.6,0.3,22.1,0.4,14633000,9033700,23666700,0.8
Kenosha,212.4,2.6,173.1,2.9,55964700,33427800,89392500,3
Kewaunee,22.5,0.3,13.7,0.2,6767900,4987000,11754900,0.4
La Crosse ,149.2,1.9,143.3,2.4,40446900,33421600,73868500,2.5
Lafayette,14,0.2,10.7,0.2,5794000,6711700,12505600,0.4
Langlade,16.7,0.2,20.6,0.3,8657700,7543600,16201200,0.5
Lincoln,28.7,0.4,24.9,0.4,6979900,10714300,17694200,0.6
Manitowoc,87.6,1.1,57.4,1,25529600,24330300,49859900,1.7
Marathon,184.8,2.3,142.9,2.4,22053600,34726600,56780200,1.9
Marinette,37.4,0.5,42.5,0.7,13907400,20181900,34089200,1.2
Marquette,13.6,0.2,11.3,0.2,5343900,2912700,8256700,0.3
Menominee,1.6,0,1,0.09,4742400,440900,5183300,0.2
Milwaukee,1094.9,13.7,826.9,14,202930100,349182800,552112900,18.7
Monroe,40.5,0.5,40.9,0.7,10488500,12612000,23100500,0.8
Oconto,42.3,0.5,25.7,0.4,10122800,10044500,20167300,0.7
Oneida,45.1,0.6,57.2,1,8337000,7763700,16100600,0.5
Outagamie,285.1,3.6,210.5,3.6,42008700,39552400,81561100,2.8
Ozaukee,251.4,3.1,99.1,1.7,17711800,13416400,31128200,1.1
Pepin,7.1,0.1,6.3,0.1,4142700,1747500,5890300,0.2
Pierce,34.9,0.4,25.2,0.4,10626800,9260000,19886800,0.7
Polk,36.6,0.5,40.6,0.7,13177600,9822600,23000200,0.8
Portage,83.2,1,73.4,1.2,18482500,16122700,34605200,1.2
Price,11.3,0.1,11.5,0.2,6651600,6586700,13238300,0.4
Racine,249.5,3.1,168.3,2.8,36074500,52417600,88492100,3
Richland,13.8,0.2,13.9,0.2,8376300,5644500,14020900,0.5
Rock,201.2,2.5,170.3,2.9,14574800,44205800,58780600,2
Rusk,9.1,0.1,10.7,0.2,8505500,5318300,13823800,0.5
Sauk,97.4,1.2,102.2,1.7,26001700,14725900,40727600,1.4
Sawyer,78.3,1,24.2,0.4,6437700,5556100,11993800,0.4
Shawano,14.1,0.2,33.7,0.6,12400500,10287200,22687800,0.8
Sheboygan,36.1,0.5,110.8,1.9,23407100,23262700,46669800,1.6
St. Croix ,148.3,1.8,94.7,1.6,15776200,10995600,26771800,0.9
Taylor,19,0.2,15.5,0.3,8033900,6919300,14953200,0.5
Trempealeau,28.9,0.4,23.3,0.4,9579700,8788000,18367700,0.6
Vernon,26.1,0.3,22.1,0.4,9676900,10806500,20483500,0.7
Vilas,23.7,0.3,32.8,0.6,6223000,5279000,11502000,0.4
Walworth,138.9,1.7,119.2,2,25526800,16283200,41809900,1.4
Washburn,14.7,0.2,16.2,0.3,4606200,4685000,9291100,0.3
Washington,231.5,2.9,142.4,2.4,24966300,14541000,39507300,1.3
Waukesha,952,11.9,514.9,8.7,65019800,43817300,108837000,3.7
Waupaca,55.9,0.7,43.5,0.7,15892800,13672800,29565600,1
Waushara,19.8,0.2,17.8,0.3,6990100,4744700,11734800,0.4
Winnebago,229.9,2.9,157.7,2.7,41429700,36640300,78070000,2.6
Wood,81,1,68.6,1.2,25250900,23894000,49144900,1.7
